TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2021_07_11,19.7958,110.2042,0.0004871040582656,0.1779632568359375,0.00750732421875,311.1428527832031,-0.0029210462234914,2.1959228515625,100121.6015625,307.718017578125,-3.47467041015625,1.1088809967041016,124.85445404052734,31.0,0.0880627930164337,1.0,1.26,23.75,14.33,52.78,38.82,37.42,0.5306500196456909,0.7288249731063843,9.0,Loam,1,Loam_1,0.27951,50.5315301880154,2.13165676519794,52.66318695321333
2017_01_31,28.2958,115.8042,0.000375747680664,0.4205780029296875,0.0024871826171875,284.0994567871094,-0.0008171992376446,1.3353271484375,101895.96875,282.2742004394531,-0.9612884521484376,-1.75274658203125,33.690067291259766,23.0,0.0139583023265004,1.0,1.31,25.8,13.98,52.02,27.41,46.78,0.1450937539339065,0.3041312396526336,7.0,Loam,1,Loam_1,0.26856,119.54569207378208,0.7069603384256605,120.25265241220777
2020_06_03,24.4958,109.2042,0.0048009306192398,0.4897308349609375,0.0251312255859375,300.5004272460937,-0.0012877574190497,1.852294921875,98422.4765625,300.126953125,0.50030517578125,-0.5862998962402344,38.68226623535156,101.0,0.2570545673370361,1.0,1.25,23.86,21.69,55.84,38.36,37.76,0.4987187385559082,0.6719624996185303,8.0,Loam,1,Loam_1,0.30914086,126.7333823062891,6.503501500497216,133.23688380678632
2020_03_24,41.2958,123.0042,0.0006044507026672,0.277313232421875,7.62939453125e-05,285.99169921875,-0.0013943682424724,0.721435546875,100967.796875,290.5072326660156,2.2154541015625,4.57098388671875,322.18426513671875,18.0,0.1094445586204528,1.0,1.37,24.04,19.72,48.32,33.67,42.28,0.0947749987244606,0.1733624935150146,1.0,Loam,1,Loam_1,0.30495045,66.37747798902612,0.0182616589603351,66.39573964798646
2018_07_07,41.0958,82.5042,0.000150628387928,0.0268402099609375,0.0010833740234375,326.0913391113281,-0.0001847194507718,0.5225830078125,89727.203125,307.845458984375,2.940673828125,0.0993757247924804,144.4623260498047,969.0,0.0055504157207906,1.0,1.38,21.22,15.88,51.24,30.04,48.73,0.1204875037074089,0.170424997806549,2.0,Loam,1,Loam_1,0.25756782,7.551186909888714,0.3047949235941437,7.855981833482858
2017_09_03,22.9958,110.9042,0.0089268088340759,0.41900634765625,0.067779541015625,304.9852294921875,-0.0037848856300115,3.4049072265625,98352.28125,304.365234375,0.0841522216796875,-0.8886566162109375,327.6656494140625,145.0,0.952922523021698,1.0,1.04,24.21,13.63,54.2,45.7,30.07,0.5309500098228455,0.7679749727249146,8.0,Loam,1,Loam_1,0.29628783,135.97950307315708,21.99639303171754,157.9758961048746
2021_06_06,35.5958,111.0042,4.845857620239258e-05,0.0784759521484375,0.0003509521484375,316.5167236328125,-0.0008783927187323,2.7127685546875,94939.34375,312.16064453125,1.0384674072265625,3.2235260009765625,359.3277282714844,472.0,0.4949076175689697,1.0,1.31,14.69,10.13,51.97,44.26,41.03,0.3407500088214874,0.4538937509059906,4.0,Sandy Loam,1,Sandy Loam_1,0.25582913,23.416139899135047,0.1047192723468998,23.520859171481945
2018_03_22,24.2958,102.3042,0.0007896274328231,0.2619171142578125,0.006561279296875,292.49420166015625,-0.0016709631308913,2.75146484375,80832.9453125,292.8575744628906,1.2182769775390625,2.357528686523437,145.8535614013672,1829.0,0.2471398413181305,1.0,1.25,35.64,21.15,55.99,28.03,36.32,0.2768000066280365,0.7041000127792358,8.0,Clay Loam,4,Clay Loam_4,0.32489783,64.49217940490708,1.6155920270381614,66.10777143194524
2020_01_21,31.3958,112.0042,0.0005772426957264,0.3139801025390625,0.0048065185546875,282.83251953125,-0.0003333739005029,1.416015625,98885.71875,282.10906982421875,-1.8224639892578125,0.2646484375,61.32058334350586,204.0,0.727319598197937,1.0,1.3,25.9,20.65,54.99,31.92,42.17,0.218687504529953,0.4980687499046325,7.0,Loam,1,Loam_1,0.32693478,73.87502663353187,1.1309050585392693,75.00593169207114
2021_06_24,35.9958,111.2042,0.0002190470695495,0.1773681640625,0.0081024169921875,300.6507873535156,-0.0018072621896862,2.245849609375,91283.03125,300.427978515625,0.18310546875,1.6670379638671875,110.32022094726562,798.0,1.7608331441879272,1.0,1.23,16.05,11.66,54.44,36.87,47.07,0.2685937583446502,0.410093754529953,4.0,Loam,1,Loam_1,0.28271,51.0069539105113,2.330066459607837,53.337020370119134
2019_06_11,42.8958,80.8042,0.0026303008198738,0.39373779296875,0.02142333984375,286.6961975097656,-0.0017424155957996,2.8179931640625,82296.5,286.401611328125,-1.6757659912109375,-1.6337890625,335.2361145019531,1671.0,0.4590152502059936,1.0,1.28,15.84,10.77,57.7,42.34,41.8,0.3704000115394592,0.531499981880188,2.0,Loam,4,Loam_4,0.2771,111.00961773974592,6.040052058076394,117.04966979782232
2017_11_09,28.0958,106.2042,0.0004168674349784,0.3342742919921875,0.00738525390625,293.450927734375,-0.0015144841745495,1.2623291015625,91784.359375,296.24481201171875,-1.91412353515625,1.1319732666015625,62.74934768676758,1023.0,1.2778780460357666,1.0,1.26,24.53,22.04,55.7,39.05,36.4,0.3439312577247619,0.6006500124931335,8.0,Loam,4,Loam_4,0.28374782,93.4974785486129,2.0656767068758226,95.56315525548872
2018_01_06,33.4958,117.6042,0.0010076866019517,0.30474853515625,0.0507965087890625,277.13262939453125,-0.0002105571329593,0.9593505859375,102221.5,273.91729736328125,-0.9147796630859376,-0.8740234375,145.30484008789062,21.0,0.0102018676698207,1.0,1.25,25.72,18.5,52.33,18.16,56.1,0.0340499989688396,0.0431500002741813,7.0,Silt Loam,1,Silt Loam_1,0.30639,79.57140511276478,13.26322890148177,92.83463401424656
2022_05_23,29.4958,109.6042,0.0001753270626068,0.4649505615234375,0.0090789794921875,295.3544311523437,-0.0031672306358814,2.9639892578125,90991.09375,295.8359375,-0.7920989990234375,2.184382438659668,171.39639282226562,909.0,0.5520538091659546,1.0,1.22,25.67,20.53,57.3,32.89,41.42,0.4915125072002411,0.7033562660217285,7.0,Loam,1,Loam_1,0.28552,133.47822136528504,2.6063976145300325,136.08461897981508
2021_03_31,29.4958,121.0042,0.0022282749414443,0.4553985595703125,0.0369873046875,292.756591796875,-0.00167943444103,2.883056640625,98649.359375,295.11248779296875,-1.175384521484375,1.325042724609375,325.3746337890625,222.0,0.6029493808746338,1.0,1.13,28.27,16.07,53.48,37.1,34.62,0.3036499917507171,0.5605000257492065,7.0,Clay Loam,1,Clay Loam_1,0.38552216,104.53551485626262,8.49033633813304,113.02585119439568
2020_09_23,40.3958,122.4042,0.0036046802997589,0.3132476806640625,0.03497314453125,294.6263427734375,-0.0020735249854624,2.0113525390625,100660.15625,294.97314453125,0.9290924072265624,-0.0232086181640625,1.3278093338012695,78.0,0.3898131847381592,1.0,1.28,16.3,11.74,46.49,42.85,40.84,0.48496875166893,0.779143750667572,1.0,Loam,1,Loam_1,0.28340045,86.35298586110177,9.64104649976352,95.99403236086528
2020_07_29,48.7958,124.7042,0.0023795454762876,0.246337890625,0.0545501708984375,299.56298828125,-0.0022323187440633,2.78955078125,97900.0546875,300.03271484375,-0.402191162109375,1.0104970932006836,302.585693359375,259.0,0.1485579162836074,1.0,1.2,23.52,10.15,60.77,38.14,38.32,0.731124997138977,0.8999999761581421,1.0,Loam,1,Loam_1,0.34072044,60.24926931910317,13.341869289878211,73.59113860898138
2020_02_10,34.2958,117.9042,0.0002290159463882,0.2788848876953125,0.00555419921875,286.9418640136719,-0.0011304686777293,0.923828125,101738.7109375,288.7679443359375,1.058624267578125,3.10308837890625,116.56504821777344,25.0,0.0144276190549135,1.0,1.27,29.52,18.84,52.16,14.65,55.81,0.282212495803833,0.4589374959468841,7.0,Silty Clay Loam,1,Silty Clay Loam_1,0.39869,55.07898361134931,1.0969387773995265,56.17592238874884
2020_07_25,37.6958,113.2042,0.0022883862257003,0.2673797607421875,0.0333099365234375,295.2669982910156,-0.0017911670729517,1.6990966796875,88211.6953125,291.46142578125,0.39959716796875,2.6856231689453125,19.112972259521484,1125.0,0.3448430895805359,1.0,1.26,16.6,12.46,53.2,44.7,38.69,0.3610000014305115,0.6285437345504761,4.0,Sandy Loam,4,Sandy Loam_4,0.24046,88.250087049487,10.994118588656628,99.24420563814364
2018_05_19,31.1958,103.8042,0.0027781650424003,0.4938507080078125,0.0035552978515625,297.27801513671875,-0.0019072229042649,1.5711669921875,85928.0234375,295.664794921875,-0.15765380859375,1.2158050537109375,159.5971221923828,823.0,3.2169997692108154,1.0,1.17,21.72,32.86,55.03,35.07,43.2,0.4503312408924103,0.6893312335014343,6.0,Loam,2,Loam_2,0.29037654,145.36113083684364,1.0464743854467655,146.4076052222904
2019_07_23,46.3958,132.8042,0.005641350056976,0.3298492431640625,0.048492431640625,298.9591369628906,-0.0037106755189597,3.0714111328125,98787.3828125,301.9375,0.5863189697265625,1.6568241119384766,318.8030700683594,120.0,0.3164125978946686,1.0,1.1,25.31,8.6,58.81,28.48,46.2,0.582087516784668,0.904937505722046,1.0,Loam,1,Loam_1,0.33356,89.8977540265517,13.216221598574332,103.11397562512605
2019_09_17,47.4958,132.8042,0.001746043562889,0.3555755615234375,0.0365753173828125,289.5361633300781,-0.0024035973474383,1.9495849609375,100422.109375,289.173828125,-0.6147308349609375,3.086893081665039,40.601295471191406,52.0,0.011897318996489,1.0,1.07,27.87,23.79,57.58,34.76,37.35,0.4260750114917755,0.589662492275238,1.0,Clay Loam,1,Clay Loam_1,0.34738958,95.66021205944314,9.839828704736952,105.50004076418008
