month,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_1_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_2_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_3_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_4_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_5_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_6_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_7_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_8_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时1天农田数据_9_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_1_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_2_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_3_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_4_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_5_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_6_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_7_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_8_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时2天农田数据_9_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_1_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_2_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_3_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_4_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_5_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_6_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_7_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_8_pearson_corr,2017-2022年ERA5_precipitation和ERA5_soil滞时3天农田数据_9_pearson_corr
1,0.207,0.236,0.595,0.453,0.655,0.646,0.454,0.572,0.556,0.078,0.09,0.098,-0.019,0.552,0.336,0.217,0.377,0.308,0.076,0.094,0.122,-0.021,0.606,0.349,0.23,0.381,0.321
2,0.522,0.582,0.651,0.637,0.588,0.579,0.39,0.562,0.557,-0.003,0.058,-0.03,-0.099,0.645,0.188,0.382,0.537,0.286,0.001,0.054,-0.022,-0.095,0.62,0.205,0.342,0.506,0.247
3,0.498,0.619,0.637,0.671,0.478,0.474,0.413,0.364,0.426,0.092,0.089,0.181,0.009,0.61,0.154,0.293,0.419,0.337,0.097,0.088,0.259,0.041,0.622,0.182,0.269,0.398,0.314
4,0.627,0.622,0.669,0.496,0.159,0.468,0.488,0.447,0.417,0.06,0.11,-0.054,0.158,0.559,0.174,0.282,0.376,0.329,0.075,0.117,-0.017,0.211,0.529,0.205,0.258,0.345,0.328
5,0.631,0.703,0.614,0.669,0.142,0.418,0.38,0.271,0.296,0.05,0.049,0.091,-0.01,0.561,0.213,0.249,0.362,0.381,0.091,0.073,0.137,0.03,0.525,0.227,0.195,0.337,0.396
6,0.503,0.616,0.587,0.621,0.153,0.326,0.342,0.207,0.208,0.063,-0.009,0.025,0.264,0.455,0.267,0.332,0.347,0.394,0.081,0.013,0.002,0.266,0.405,0.24,0.284,0.308,0.386
7,0.404,0.576,0.432,0.434,0.17,0.241,0.277,0.251,0.301,0.214,0.147,0.089,0.154,0.337,0.359,0.371,0.364,0.42,0.217,0.196,0.105,0.16,0.313,0.328,0.326,0.322,0.411
8,0.494,0.559,0.387,0.379,0.27,0.306,0.455,0.286,0.267,0.205,0.173,0.071,0.246,0.337,0.388,0.234,0.416,0.408,0.22,0.204,0.097,0.255,0.317,0.321,0.26,0.375,0.385
9,0.478,0.577,0.452,0.367,0.235,0.372,0.42,0.356,0.388,0.211,0.124,0.203,0.272,0.349,0.355,0.207,0.373,0.299,0.225,0.145,0.234,0.31,0.336,0.315,0.222,0.34,0.285
10,0.614,0.55,0.474,0.398,0.259,0.415,0.518,0.514,0.44,0.203,0.302,0.121,0.353,0.354,0.392,0.231,0.312,0.361,0.243,0.376,0.161,0.397,0.34,0.409,0.237,0.324,0.403
11,0.585,0.394,0.51,0.6,0.479,0.641,0.513,0.477,0.495,0.027,-0.055,0.118,0.102,0.45,0.11,0.186,0.327,0.214,0.032,-0.05,0.135,0.129,0.506,0.158,0.173,0.322,0.222
12,0.413,0.266,0.541,0.56,0.602,0.698,0.565,0.593,0.668,-0.037,0.048,-0.102,0.003,-0.009,-0.108,-0.054,0.019,-0.002,-0.037,0.047,-0.097,0.011,0.009,-0.106,-0.043,0.025,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.465,0.435,0.408,0.418,,,,,,,,,,,,,,,,,,
