TM,lat,lon,ERA5_precipitation,ERA5L1_start_soil,ERA5L1_delta_soil,ERA5L2_start_soil,ERA5L2_delta_soil,ERA5L3_start_soil,ERA5L3_delta_soil,BD1,BD2,BD3,FC1,FC2,FC3,CLCD,ASML1_RSM,ASML2_RSM,ASML3_RSM,DSML1_RSM,DSML2_RSM,DSML3_RSM,ENDL1_RSM,ENDL2_RSM,ENDL3_RSM,DELTA_ASML1,DELTA_ASML2
2019_08_16,47.19583435058594,126.50416564941406,3.4921467,0.41526794,0.008270264,0.38827515,0.02986145,0.3968811,0.0008087158,1.32,1.33,1.48,0.34388,0.3426195,0.3450295,1.0,91.484505,85.20711,77.72173,1.8219587,6.5531054,0.15837185,93.306465,91.760216,77.880104,-6.277397,-7.4853745
2019_07_28,36.09583435058593,102.00416564941406,0.06787479,0.36590576,0.008346558,0.3347473,0.045074463,0.3324585,0.0016784668,1.26,1.32,1.21,0.27759737,0.28475463,0.28118092,1.0,104.61244,89.057884,97.716125,2.3862805,11.991839,0.49333456,106.998726,101.04972,98.20946,-15.554558,8.658241
2020_07_08,37.395834350585936,114.20416564941408,10.565236,0.2873993,0.115982056,0.28125,0.08476257,0.16625977,0.0012054443,1.26,1.36,1.38,0.26965392,0.2770273,0.31629536,1.0,84.58794,74.65021,38.090378,34.13607,22.497934,0.2761692,118.72401,97.14814,38.366547,-9.937729,-36.55983
2018_05_20,40.295834350585935,111.30416564941407,0.21914393,0.37312317,0.01966858,0.35617065,0.027252197,0.23765564,0.0038604736,1.62,1.38,1.53,0.26613,0.27254343,0.28333342,1.0,86.54527,94.69855,54.822506,4.562093,7.2458057,0.8905358,91.10737,101.94435,55.713043,8.153275,-39.87604
2021_08_27,33.09583435058593,119.20416564941408,4.8166227,0.3711548,0.04045105,0.362854,0.019729614,0.3523407,0.00035095215,1.25,1.34,1.42,0.39869,0.39204413,0.3818741,1.0,74.47486,69.07043,64.97619,8.116793,3.7555954,0.064720124,82.59165,72.82602,65.04091,-5.404434,-4.0942383
2018_06_25,34.295834350585935,108.40416564941408,7.4572067,0.29136658,0.11633301,0.28715515,0.097473145,0.24029541,0.0034637451,1.35,1.39,1.35,0.31886,0.31055462,0.31704462,1.0,67.6871,66.52177,56.142445,27.025213,22.58043,0.80926687,94.71232,89.102196,56.95171,-1.1653366,-10.379322
2017_07_21,26.79583435058593,103.80416564941406,2.2476912,0.48138428,0.010421753,0.47554016,0.012283325,0.47380066,0.0005187988,1.16,1.33,1.36,0.3314626,0.33100227,0.35228097,1.0,125.19858,108.0201,98.893456,2.7104926,2.7901871,0.10828564,127.90907,110.81029,99.00174,-17.178474,-9.126648
2020_08_03,47.295834350585935,127.90416564941408,5.425125,0.41540527,0.014450073,0.36857605,0.01210022,0.34153748,0.0014038086,1.17,1.15,1.35,0.33055,0.27769315,0.21379317,1.0,107.411064,115.41549,118.33433,3.7363458,3.7890494,0.48638514,111.14741,119.20454,118.82071,8.004425,2.9188385
2017_08_20,29.995834350585938,103.80416564941406,0.7803291,0.3888855,0.0057678223,0.34046936,0.041366577,0.24465942,0.00289917,1.28,1.26,1.41,0.29479,0.30463123,0.3189512,1.0,103.0621,88.70193,54.40247,1.5285835,10.777167,0.6446594,104.59068,99.479095,55.04713,-14.360176,-34.299458
2017_10_11,34.99583435058594,117.80416564941407,0.115685165,0.37290955,0.014389038,0.35368347,0.024429321,0.3404541,0.00038146973,1.3,1.31,1.44,0.25339392,0.2662594,0.27187246,1.0,113.204575,101.40014,86.962265,4.3680964,7.003823,0.097438894,117.57267,108.40396,87.05971,-11.804436,-14.437874
2020_09_19,23.695834350585937,109.20416564941408,4.5697837,0.43249512,0.023544312,0.4319458,0.012161255,0.43499756,0.0004272461,1.13,1.37,1.23,0.2939722,0.30845928,0.32889318,1.0,130.19566,102.21411,107.529305,7.0876336,2.877796,0.10561318,137.2833,105.0919,107.63492,-27.981552,5.315193
2022_11_21,30.595834350585932,120.60416564941406,0.022880733,0.333313,0.02571106,0.32800293,0.0027313232,0.27890015,0.000579834,1.09,1.17,1.4,0.35041,0.3298998,0.3188498,1.0,87.26684,84.97865,62.479073,6.731579,0.70762837,0.12989412,93.99841,85.68628,62.608967,-2.2881851,-22.49958
2021_06_02,27.895834350585936,109.80416564941407,21.195368,0.39787292,0.013748169,0.40193176,0.047546387,0.39305115,0.005706787,1.21,1.3,1.46,0.31014,0.3049422,0.3020022,1.0,106.02328,101.389145,89.14277,3.6635463,11.993795,1.2942814,109.68682,113.38294,90.43705,-4.6341324,-12.246376
2020_05_25,23.195834350585937,116.40416564941408,2.277717,0.4275055,0.05203247,0.44143677,0.0005950928,0.38459778,0.00035095215,1.18,1.27,1.21,0.28524524,0.28853264,0.29661003,1.0,127.01099,120.46748,107.16071,15.458738,0.16239999,0.09778601,142.46973,120.62988,107.2585,-6.543503,-13.30677
2020_06_20,46.69583435058594,126.00416564941406,0.07093698,0.3471985,0.035202026,0.32325745,0.05680847,0.26974487,0.0029907227,1.31,1.42,1.5,0.30209,0.3118434,0.32572338,1.0,87.73446,73.00013,55.209396,8.895288,12.828864,0.61211914,96.629745,85.828995,55.821514,-14.734329,-17.790733
2020_01_07,35.395834350585936,113.00416564941406,0.018514693,0.30204773,0.010620117,0.21818542,0.0053100586,0.18629456,4.5776367e-05,1.23,1.26,1.32,0.25978,0.26503512,0.27525514,1.0,94.52894,65.335884,51.273243,3.3236747,1.5901035,0.012598881,97.852615,66.92599,51.285843,-29.193054,-14.062641
2022_05_14,21.79583435058593,108.40416564941408,1.2193322,0.4048462,0.0038146973,0.40922546,0.00021362305,0.39466858,0.00061035156,1.17,1.35,1.39,0.40402564,0.4054788,0.414191,1.0,85.64368,74.75852,68.55152,0.80698466,0.03902529,0.10601433,86.45066,74.79755,68.65754,-10.885155,-6.2070007
2018_06_19,29.495834350585938,116.70416564941408,10.836169,0.29026794,0.19314575,0.3811493,0.12385559,0.45976257,0.00076293945,1.22,1.38,1.41,0.38850653,0.39382547,0.3938322,1.0,61.24081,70.131355,82.79484,40.74994,22.789392,0.13739146,101.99075,92.920746,82.93223,8.890545,12.663483
2020_06_07,31.995834350585938,106.90416564941408,16.300879,0.34162903,0.08425903,0.3232422,0.097961426,0.33328247,0.021133423,1.22,1.39,1.53,0.28944302,0.30656615,0.33184463,1.0,96.74574,75.85584,65.64267,23.86127,22.988789,4.162398,120.60701,98.844635,69.80507,-20.8899,-10.213173
2017_09_11,22.79583435058593,107.00416564941406,2.2729187,0.41319275,0.003326416,0.41783142,0.00289917,0.41163635,0.0009918213,1.27,1.31,1.38,0.30896783,0.31705868,0.33543974,1.0,105.30177,100.59819,88.92423,0.847734,0.6980118,0.21425937,106.149506,101.2962,89.13849,-4.703583,-11.673958
2021_01_24,32.69583435058594,117.40416564941408,1.5878007,0.34536743,0.00944519,0.32791138,0.0008392334,0.2820282,0.0005645752,1.27,1.33,1.39,0.34310868,0.33623582,0.34740144,1.0,79.25852,73.326485,58.404476,2.1675808,0.18766665,0.11691639,81.4261,73.51415,58.521393,-5.9320374,-14.9220085
2022_08_21,46.19583435058594,127.00416564941406,17.900064,0.3753357,0.043014526,0.36914062,0.047668457,0.30220032,0.006500244,1.29,1.32,1.45,0.33369914,0.3028819,0.26100737,1.0,87.19168,92.33037,79.84985,9.9924135,11.922953,1.7175481,97.1841,104.25332,81.5674,5.138687,-12.480515
2017_10_07,36.69583435058594,114.70416564941408,1.7590106,0.26779175,0.06291199,0.18208313,0.010894775,0.15919495,1.5258789e-05,1.31,1.35,1.36,0.39865,0.39533144,0.38449138,1.0,51.278366,34.117294,30.444141,12.046763,2.0413766,0.002918062,63.32513,36.158672,30.44706,-17.161072,-3.673153
2021_07_14,46.69583435058594,126.10416564941406,3.6035328,0.3967743,0.02456665,0.3804779,0.0045776367,0.2868042,0.0024108887,1.3,1.41,1.43,0.30209,0.3118434,0.32572338,1.0,101.03314,86.53142,61.57445,6.255561,1.0410838,0.51759756,107.288704,87.5725,62.09205,-14.501724,-24.956966
2022_07_07,46.795834350585935,133.00416564941406,4.426621,0.3063507,0.084991455,0.3203125,0.009536743,0.28401184,0.00030517578,1.12,1.1,1.46,0.30210653,0.3013335,0.27980024,1.0,90.540054,96.63486,69.524124,25.1187,2.8771336,0.07470491,115.65875,99.51199,69.59883,6.094803,-27.110733
2020_12_14,26.995834350585938,110.80416564941407,0.7379949,0.38511658,0.0038604736,0.36901855,0.0034332275,0.3388977,0.00019836426,1.3,1.33,1.51,0.27787262,0.27218682,0.27023053,1.0,106.61127,101.93645,83.053375,1.0686893,0.9483832,0.048612963,107.679955,102.88483,83.10199,-4.67482,-18.883072
2020_03_06,43.09583435058594,124.40416564941408,0.17055869,0.37690735,0.0036010742,0.3375244,0.009506226,0.30828857,0.00018310547,1.3,1.28,1.46,0.3141165,0.29738802,0.27356973,1.0,92.29974,88.66899,77.18564,0.88185656,2.4973228,0.04584378,93.1816,91.16631,77.23148,-3.6307526,-11.483353
2022_01_31,28.695834350585937,103.60416564941406,3.8980246,0.50546265,0.009719849,0.49794006,0.005142212,0.49256897,0.0009918213,1.18,1.22,1.24,0.29053044,0.2802744,0.29148418,1.0,147.44003,145.62428,136.27945,2.835214,1.5038575,0.27440798,150.27525,147.12814,136.55386,-1.8157501,-9.344833
2022_06_13,41.295834350585935,120.30416564941407,9.621695,0.39668274,0.021270752,0.3031311,0.09030151,0.21104431,0.0027008057,1.25,1.34,1.32,0.27569,0.2634288,0.25939882,1.0,115.1098,85.874146,61.635612,6.172368,25.581556,0.7887718,121.28217,111.4557,62.424385,-29.235657,-24.238533
2019_06_07,28.095834350585932,112.80416564941407,8.773386,0.48768616,0.0017700195,0.4897461,0.0079956055,0.47824097,0.01373291,1.2,1.23,1.39,0.38129738,0.38359064,0.40529197,1.0,106.58482,103.80012,84.89145,0.38684145,1.6946431,2.4376972,106.971664,105.49476,87.32915,-2.784706,-18.908669
2018_09_15,28.895834350585936,107.50416564941406,0.89268386,0.46350098,0.019439697,0.4566803,0.0068511963,0.40415955,0.00077819824,1.14,1.28,1.37,0.39251,0.38988817,0.41174316,1.0,103.58458,91.50867,71.64829,4.344441,1.3728288,0.13795684,107.92902,92.88149,71.78625,-12.075912,-19.860374
2018_09_19,29.695834350585937,105.30416564941407,0.024557114,0.39743042,0.010040283,0.4028778,0.009994507,0.3843689,0.009887695,1.23,1.4,1.52,0.28944302,0.30656615,0.33184463,1.0,111.63309,93.86876,76.202614,2.8201861,2.3286765,1.9602736,114.45327,96.19743,78.16289,-17.764328,-17.666145
2021_04_25,24.995834350585938,109.50416564941406,10.178558,0.4758911,0.028717041,0.4873047,0.017044067,0.50193787,0.0006866455,1.23,1.2,1.29,0.33666536,0.33841443,0.34447765,1.0,114.922226,119.99701,112.95336,6.934835,4.19704,0.15451898,121.85706,124.194046,113.10788,5.0747833,-7.043648
2019_02_26,37.19583435058594,113.70416564941408,2.365358,0.2966156,0.00944519,0.27807617,0.0009460449,0.26791382,4.5776367e-05,1.28,1.32,1.41,0.26154172,0.25381148,0.24314563,1.0,88.6019,83.00009,78.1465,2.8213682,0.28237522,0.013352289,91.42326,83.28246,78.15985,-5.6018066,-4.853592
2020_04_28,24.29583435058593,98.20416564941408,7.1668477,0.46003723,0.043045044,0.4365387,0.02078247,0.3383484,0.0012817383,1.26,1.32,1.45,0.30016,0.3073083,0.3217483,1.0,121.63809,107.615425,72.52368,11.381509,5.12329,0.27473572,133.0196,112.738716,72.798416,-14.022667,-35.091743
2019_08_10,33.795834350585935,119.80416564941407,1.0835767,0.3929901,0.017730713,0.33146667,0.077941895,0.25839233,0.018432617,1.15,1.39,1.42,0.30898,0.3232512,0.34459117,1.0,110.59956,73.770874,52.806473,4.9899707,17.346666,3.7669904,115.58953,91.11754,56.573463,-36.82869,-20.964401
2022_07_07,46.49583435058594,130.40416564941407,1.1827499,0.40525818,0.009384155,0.3600769,0.053451538,0.2909088,0.01889038,1.31,1.32,1.39,0.32665,0.32069048,0.32266048,1.0,94.706085,85.061935,64.86289,2.1930132,12.627001,4.2119203,96.8991,97.688934,69.074814,-9.64415,-20.199043
2020_09_14,30.29583435058593,113.10416564941406,9.950958,0.31140137,0.0630188,0.25151062,0.12123108,0.2012024,0.009918213,1.31,1.32,1.49,0.31464,0.28890878,0.24342877,1.0,75.55015,65.95104,55.47215,15.289206,31.789175,2.7344832,90.839355,97.74022,58.20663,-9.599106,-10.478893
2018_07_24,45.69583435058594,123.40416564941408,0.64006,0.32063293,0.0791626,0.3053131,0.091049194,0.20928955,0.008087158,1.43,1.36,1.39,0.38619435,0.3879857,0.35848853,1.0,58.058556,57.86165,42.00079,14.334353,17.255259,1.6229529,72.39291,75.116905,43.62374,-0.19690704,-15.860859
2019_01_09,23.395834350585936,108.70416564941408,1.2448058,0.41081238,0.0023498535,0.40396118,0.0071411133,0.39237976,0.0019073486,1.37,1.32,1.19,0.3858152,0.38042283,0.38197026,1.0,77.72194,80.445015,86.3237,0.44457075,1.4220845,0.4196175,78.16651,81.867096,86.74332,2.7230759,5.878685
2022_09_19,27.095834350585932,103.50416564941406,8.853219,0.4513092,0.03515625,0.4547119,0.03816223,0.44056702,0.0012512207,1.11,1.22,1.38,0.34264654,0.3436529,0.28358468,1.0,118.66014,108.45672,112.57712,9.243431,9.102358,0.31972167,127.90357,117.559074,112.89684,-10.203423,4.1203995
2021_11_05,27.195834350585937,106.40416564941408,1.6741604,0.49261475,0.01473999,0.4986725,0.0012664795,0.49171448,0.0010986328,1.21,1.26,1.42,0.39251,0.39568084,0.42378584,1.0,103.72209,100.022995,81.71056,3.103567,0.2540286,0.18256512,106.82566,100.27702,81.89313,-3.6990967,-18.312431
2020_03_02,29.395834350585936,105.50416564941406,0.5960643,0.38861084,0.0053253174,0.37765503,0.009506226,0.36009216,0.001159668,1.25,1.38,1.59,0.2878722,0.28157815,0.28275704,1.0,107.99538,97.189026,80.094574,1.4799116,2.4464147,0.25794262,109.47529,99.63544,80.352516,-10.806351,-17.094452
2021_08_09,23.395834350585936,109.70416564941408,9.50291,0.46780396,0.0027770996,0.4275055,0.035873413,0.3856659,0.0074310303,1.32,1.28,1.23,0.29869,0.30576438,0.32677442,1.0,118.65041,109.230736,95.95289,0.7043635,9.1659155,1.8488252,119.354774,118.39665,97.80171,-9.419678,-13.277847
2022_07_09,35.295834350585935,115.00416564941406,1.5261769,0.31809998,0.066329956,0.3352356,0.029907227,0.23960876,0.0014038086,1.35,1.38,1.41,0.26589784,0.25711185,0.25710294,1.0,88.61659,94.48197,66.09621,18.478262,8.428979,0.3872414,107.09486,102.91095,66.48345,5.8653793,-28.385765
2020_05_29,24.29583435058593,112.30416564941407,5.2087455,0.4142456,0.00819397,0.39387512,0.027923584,0.4087677,0.00045776367,1.13,1.26,1.41,0.26017392,0.26299095,0.281339,1.0,140.90154,118.863144,103.04514,2.7870975,8.426744,0.11539641,143.68863,127.28989,103.16054,-22.038391,-15.818001
2019_04_04,44.895834350585936,127.10416564941406,0.8790821,0.3561859,0.0016937256,0.347229,0.002105713,0.34455872,7.6293945e-05,1.23,1.22,1.41,0.31253564,0.34173328,0.3744704,1.0,92.655685,83.2854,65.25693,0.4405938,0.50507057,0.014449522,93.09628,83.790474,65.27138,-9.370285,-18.028473
2019_07_03,29.29583435058593,116.00416564941406,52.079296,0.438797,0.018051147,0.45529175,0.020599365,0.4546814,0.01020813,1.27,1.3,1.3,0.29771876,0.29483852,0.2962683,1.0,116.05229,118.785164,118.05344,4.774137,5.3743544,2.650438,120.82643,124.159515,120.70387,2.732872,-0.7317276
2018_12_18,24.495834350585938,98.50416564941406,12.637377,0.28764343,0.15515137,0.30162048,0.09379578,0.35845947,6.1035156e-05,1.22,1.35,1.47,0.33766,0.3474385,0.35947847,1.0,69.82565,64.30565,67.83438,37.663105,19.997309,0.011550209,107.488754,84.302956,67.84593,-5.5200043,3.5287323
2017_07_29,48.99583435058594,125.00416564941406,0.018784404,0.32548523,0.050308228,0.31472778,0.04737854,0.29660034,0.0005187988,1.16,0.88,1.37,0.34072044,0.34239143,0.3164912,1.0,82.35218,104.45506,68.40525,12.728664,15.724474,0.11965113,95.08084,120.179535,68.5249,22.102882,-36.049812
